Country Name,Country Code,Year,Population,organization_name,region,income_group,total_gdp,total_gdp_million,gdp_variation
Arab World,ARB,1960,92197715.0,EL MUNDO ÁRABE,NO DATA,AGREGADOS,0.0,0.0,0.0
Central Europe and the Baltics,CEB,1960,91401764.0,EUROPA CENTRAL Y DEL BÁLTICO,NO DATA,AGREGADOS,0.0,0.0,0.0
Channel Islands,CHI,1960,109419.0,ISLAS DEL CANAL,NO DATA,INGRESO ALTO,0.0,0.0,0.0
Caribbean small states,CSS,1960,4194711.0,ESTADOS PEQUEOS DEL CARIBE,NO DATA,AGREGADOS,641146358.588231,641.146358588231,0.0
East Asia & Pacific (excluding high income),EAP,1960,894885526.0,ASIA ORIENTAL Y EL PACÍFICO (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,80752362533.5747,80752.3625335747,0.0
Early-demographic dividend,EAR,1960,980003345.0,INICIAL DEL DIVIDENDO DEMOGRÁFICO,NO DATA,AGREGADOS,151408515299.426,151408.51529942598,0.0
East Asia & Pacific,EAS,1960,1041673567.0,ASIA ORIENTAL Y EL PACÍFICO,NO DATA,AGREGADOS,157146103914.433,157146.103914433,0.0
Europe & Central Asia (excluding high income),ECA,1960,256240323.0,EUROPA Y ASIA CENTRAL (EXCLUIDO ALTOS INGRESOS),NO DATA,AGREGADOS,0.0,0.0,0.0
Europe & Central Asia,ECS,1960,666753356.0,EUROPA Y ASIA CENTRAL,NO DATA,AGREGADOS,426424801995.06,426424.80199506,0.0
Euro area,EMU,1960,265203956.0,ZONA DEL EURO,NO DATA,AGREGADOS,251413246919.607,251413.246919607,0.0
European Union,EUU,1960,356906098.0,UNIÓN EUROPEA,NO DATA,AGREGADOS,284932124120.844,284932.124120844,0.0
Fragile and conflict affected situations,FCS,1960,245134016.0,FRÁGILES Y SITUACIONES DE CONFLICTO AFECTADOS,NO DATA,AGREGADOS,34157915798.1707,34157.9157981707,0.0
High income,HIC,1960,779313752.0,INGRESO ALTO,NO DATA,AGREGADOS,1092551546744.35,1092551.54674435,0.0
